iter	Passed	Remaining
0	180	631567
1	359	628677
2	526	613273
3	698	610308
4	871	609026
5	1035	602969
6	1182	590272
7	1345	587119
8	1504	583402
9	1665	581223
10	1839	583421
11	2024	588323
12	2179	584716
13	2349	585087
14	2530	587824
15	2681	583992
16	2858	585710
17	3034	587087
18	3200	586423
19	3351	583084
20	3506	580890
21	3661	578897
22	3787	572624
23	3958	573312
24	4116	572234
25	4255	568557
26	4397	565604
27	4567	566358
28	4705	563187
29	4849	560896
30	4998	559317
31	5165	559844
32	5334	560453
33	5473	557927
34	5636	557970
35	5779	556126
36	5946	556566
37	6073	553311
38	6259	555527
39	6397	553344
40	6583	555400
41	6752	555991
42	6906	555272
43	7089	556885
44	7242	556068
45	7389	554880
46	7534	553534
47	7750	557391
48	7947	559714
49	8114	559880
50	8294	560913
51	8455	560684
52	8622	560790
53	8803	561817
54	8961	561284
55	9099	559620
56	9264	559595
57	9406	558215
58	9607	560326
59	9824	563261
60	9991	563274
61	10120	561207
62	10285	561130
63	10437	560342
64	10590	559657
65	10730	558325
66	10892	558104
67	11019	556146
68	11204	557149
69	11360	556687
70	11539	557307
71	11676	555943
72	11861	556845
73	11995	555374
74	12142	554501
75	12278	553177
76	12438	552967
77	12592	552437
78	12821	555225
79	12955	553845
80	13112	553462
81	13291	554017
82	13467	554443
83	13606	553348
84	13762	552909
85	13884	551179
86	14041	550835
87	14195	550380
88	14369	550735
89	14515	549979
90	14628	548019
91	14792	547966
92	14968	548346
93	15113	547620
94	15255	546779
95	15415	546600
96	15544	545331
97	15701	545053
98	15817	543400
99	15954	542436
100	16090	541511
101	16261	541720
102	16443	542307
103	16608	542328
104	16759	541889
105	16896	541017
106	17083	541717
107	17239	541462
108	17399	541298
109	17593	542189
110	17732	541399
111	17903	541574
112	18097	542432
113	18255	542215
114	18429	542454
115	18593	542410
116	18763	542542
117	18921	542295
118	19079	542088
119	19268	542723
120	19425	542468
121	19589	542402
122	19706	541052
123	19856	540610
124	20036	540976
125	20231	541751
